country,x,y
Asian russia,-5.0,182.0
Mongolia,11.0,103.0
Kazakhstan,-160.0,123.0
China,21.0,40.0
Bhutan,-3.0,-16.0
Myanmar,14.0,-45.0
Thailand,41.0,-79.0
Laos,50.0,-56.0
Cambodia,72.0,-94.0
Vietnam,87.0,-104.0
Brunei,114.0,-152.0
Malaysia,59.0,-150.0
Singapore,70.0,-167.0
Indonesia,126.0,-198.0
East Timor,165.0,-236.0
Philippines,164.0,-111.0
Hong Kong,114.0,-40.0
Taiwan,142.0,-33.0
North Korea,136.0,70.0
South Korea,151.0,32.0
Japan,210.0,72.0
Kyrgyzstan,-117.0,73.0
Tajikistan,-133.0,55.0
Nepal,-60.0,-8.0
Bangladesh,-76.0,-24.0
India,-81.0,-86.0
Sri Lanka,-58.0,-133.0
Maldives,-101.0,-148.0
Pakistan,-139.0,-9.0
Afghanistan,-151.0,29.0
Iran,-198.0,54.0
Turkmenistan,-203.0,15.0
Uzbekistan,-207.0,93.0
UAE,-198.0,-35.0
Oman,-184.0,-61.0
Yemen,-230.0-88.0
Saudi Arabia,-257.0,-48.0
Qatar,-219.0,-35.0
Bahrain,-227.0,-22.0
Kuwait,-239.0,-11.0
Iraq,-246.0,13.0
Jordan,-285.0,-3.0
Lebanon,-298.0,28.0
Palestine,-300.0,14.0
Syria,-286.0,36.0
Turkey,-318.0,53.0
Armenia,-259.0,57.0
Azerbaijan,-241.0,69.0
Georgia,-279.0,70.0
Cyprus,-311.0,31.0